points,x,y,z,p
1.0,2.5806451612903225,0.0,150.0,0.0039596
2.0,2.5806451612903225,0.0,-150.0,0.0039596
3.0,5.806451612903226,0.0,150.0,0.0042765
4.0,5.806451612903226,0.0,-150.0,0.0042765
5.0,8.387096774193548,0.0,150.0,0.0051687
6.0,8.387096774193548,0.0,-150.0,0.0051687
7.0,11.612903225806452,0.0,150.0,0.006401500000000001
8.0,11.612903225806452,0.0,-150.0,0.006401500000000001
9.0,14.193548387096774,0.0,150.0,0.0077654
10.0,14.193548387096774,0.0,-150.0,0.0077654
11.0,17.419354838709676,0.0,150.0,0.0091512
12.0,17.419354838709676,0.0,-150.0,0.0091512
13.0,20.0,0.0,150.0,0.0104544
14.0,20.0,0.0,-150.0,0.0104544
15.0,23.225806451612904,0.0,150.0,0.0115911
16.0,23.225806451612904,0.0,-150.0,0.0115911
17.0,25.806451612903224,0.0,150.0,0.012514500000000001
18.0,25.806451612903224,0.0,-150.0,0.012514500000000001
19.0,29.032258064516128,0.0,150.0,0.0132303
20.0,29.032258064516128,0.0,-150.0,0.0132303
21.0,31.612903225806452,0.0,150.0,0.013766300000000002
22.0,31.612903225806452,0.0,-150.0,0.013766300000000002
23.0,34.83870967741935,0.0,150.0,0.014124999999999999
24.0,34.83870967741935,0.0,-150.0,0.014124999999999999
25.0,37.41935483870968,0.0,150.0,0.0143252
26.0,37.41935483870968,0.0,-150.0,0.0143252
27.0,40.645161290322584,0.0,150.0,0.014397199999999999
28.0,40.645161290322584,0.0,-150.0,0.014397199999999999
29.0,43.225806451612904,0.0,150.0,0.014385500000000002
30.0,43.225806451612904,0.0,-150.0,0.014385500000000002
31.0,46.45161290322581,0.0,150.0,0.014337700000000002
32.0,46.45161290322581,0.0,-150.0,0.014337700000000002
33.0,49.03225806451613,0.0,150.0,0.014333000000000002
34.0,49.03225806451613,0.0,-150.0,0.014333000000000002
35.0,52.25806451612903,0.0,150.0,0.014068200000000001
36.0,52.25806451612903,0.0,-150.0,0.014068200000000001
37.0,54.83870967741935,0.0,150.0,0.013808100000000002
38.0,54.83870967741935,0.0,-150.0,0.013808100000000002
39.0,57.41935483870968,0.0,150.0,0.013844200000000001
40.0,57.41935483870968,0.0,-150.0,0.013844200000000001
41.0,60.645161290322584,0.0,150.0,0.013571100000000001
42.0,60.645161290322584,0.0,-150.0,0.013571100000000001
43.0,63.225806451612904,0.0,150.0,0.0133215
44.0,63.225806451612904,0.0,-150.0,0.0133215
45.0,66.45161290322581,0.0,150.0,0.0131497
46.0,66.45161290322581,0.0,-150.0,0.0131497
47.0,69.03225806451613,0.0,150.0,0.012873299999999999
48.0,69.03225806451613,0.0,-150.0,0.012873299999999999
49.0,72.25806451612904,0.0,150.0,0.012717800000000001
50.0,72.25806451612904,0.0,-150.0,0.012717800000000001
51.0,74.83870967741936,0.0,150.0,0.0125114
52.0,74.83870967741936,0.0,-150.0,0.0125114
53.0,78.06451612903226,0.0,150.0,0.0122735
54.0,78.06451612903226,0.0,-150.0,0.0122735
55.0,80.64516129032258,0.0,150.0,0.012037200000000001
56.0,80.64516129032258,0.0,-150.0,0.012037200000000001
57.0,83.87096774193549,0.0,150.0,0.011798300000000001
58.0,83.87096774193549,0.0,-150.0,0.011798300000000001
59.0,86.45161290322581,0.0,150.0,0.0115575
60.0,86.45161290322581,0.0,-150.0,0.0115575
61.0,89.6774193548387,0.0,150.0,0.0113157
62.0,89.6774193548387,0.0,-150.0,0.0113157
63.0,92.25806451612904,0.0,150.0,0.011073800000000002
64.0,92.25806451612904,0.0,-150.0,0.011073800000000002
65.0,95.48387096774194,0.0,150.0,0.0108322
66.0,95.48387096774194,0.0,-150.0,0.0108322
67.0,98.06451612903226,0.0,150.0,0.010592
68.0,98.06451612903226,0.0,-150.0,0.010592
69.0,101.29032258064517,0.0,150.0,0.0103537
70.0,101.29032258064517,0.0,-150.0,0.0103537
71.0,103.87096774193549,0.0,150.0,0.0101177
72.0,103.87096774193549,0.0,-150.0,0.0101177
73.0,107.09677419354838,0.0,150.0,0.0098846
74.0,107.09677419354838,0.0,-150.0,0.0098846
75.0,109.6774193548387,0.0,150.0,0.009655200000000001
76.0,109.6774193548387,0.0,-150.0,0.009655200000000001
77.0,112.90322580645162,0.0,150.0,0.009430000000000001
78.0,112.90322580645162,0.0,-150.0,0.009430000000000001
79.0,115.48387096774194,0.0,150.0,0.0092095
80.0,115.48387096774194,0.0,-150.0,0.0092095
81.0,118.06451612903226,0.0,150.0,0.0089941
82.0,118.06451612903226,0.0,-150.0,0.0089941
83.0,121.29032258064517,0.0,150.0,0.0087849
84.0,121.29032258064517,0.0,-150.0,0.0087849
85.0,123.87096774193549,0.0,150.0,0.0085818
86.0,123.87096774193549,0.0,-150.0,0.0085818
87.0,127.09677419354838,0.0,150.0,0.008385
88.0,127.09677419354838,0.0,-150.0,0.008385
89.0,129.67741935483872,0.0,150.0,0.008195
90.0,129.67741935483872,0.0,-150.0,0.008195
91.0,132.90322580645162,0.0,150.0,0.0080121
92.0,132.90322580645162,0.0,-150.0,0.0080121
93.0,135.48387096774192,0.0,150.0,0.007836899999999999
94.0,135.48387096774192,0.0,-150.0,0.007836899999999999
95.0,138.70967741935485,0.0,150.0,0.0076695
96.0,138.70967741935485,0.0,-150.0,0.0076695
97.0,141.29032258064515,0.0,150.0,0.0075104
98.0,141.29032258064515,0.0,-150.0,0.0075104
99.0,144.51612903225808,0.0,150.0,0.00736
100.0,144.51612903225808,0.0,-150.0,0.00736
101.0,147.09677419354838,0.0,150.0,0.0072181
102.0,147.09677419354838,0.0,-150.0,0.0072181
103.0,150.32258064516128,0.0,150.0,0.0070848
104.0,150.32258064516128,0.0,-150.0,0.0070848
105.0,152.90322580645162,0.0,150.0,0.0069597999999999995
106.0,152.90322580645162,0.0,-150.0,0.0069597999999999995
107.0,156.1290322580645,0.0,150.0,0.006843000000000001
108.0,156.1290322580645,0.0,-150.0,0.006843000000000001
109.0,158.70967741935485,0.0,150.0,0.006734500000000001
110.0,158.70967741935485,0.0,-150.0,0.006734500000000001
111.0,161.93548387096774,0.0,150.0,0.0066338
112.0,161.93548387096774,0.0,-150.0,0.0066338
113.0,164.51612903225808,0.0,150.0,0.006540300000000001
114.0,164.51612903225808,0.0,-150.0,0.006540300000000001
115.0,167.74193548387098,0.0,150.0,0.0064540000000000005
116.0,167.74193548387098,0.0,-150.0,0.0064540000000000005
117.0,170.32258064516128,0.0,150.0,0.0063746
118.0,170.32258064516128,0.0,-150.0,0.0063746
119.0,172.90322580645162,0.0,150.0,0.006302000000000001
120.0,172.90322580645162,0.0,-150.0,0.006302000000000001
121.0,176.1290322580645,0.0,150.0,0.0062357
122.0,176.1290322580645,0.0,-150.0,0.0062357
123.0,178.70967741935485,0.0,150.0,0.0061756
124.0,178.70967741935485,0.0,-150.0,0.0061756
125.0,181.93548387096774,0.0,150.0,0.0061206
126.0,181.93548387096774,0.0,-150.0,0.0061206
127.0,184.51612903225808,0.0,150.0,0.0060688
128.0,184.51612903225808,0.0,-150.0,0.0060688
129.0,187.74193548387098,0.0,150.0,0.0060198000000000005
130.0,187.74193548387098,0.0,-150.0,0.0060198000000000005
131.0,190.32258064516128,0.0,150.0,0.005972600000000001
132.0,190.32258064516128,0.0,-150.0,0.005972600000000001
133.0,193.5483870967742,0.0,150.0,0.0059268
134.0,193.5483870967742,0.0,-150.0,0.0059268
135.0,196.1290322580645,0.0,150.0,0.005881600000000001
136.0,196.1290322580645,0.0,-150.0,0.005881600000000001
137.0,199.3548387096774,0.0,150.0,0.0058367
138.0,199.3548387096774,0.0,-150.0,0.0058367
139.0,201.93548387096774,0.0,150.0,0.0057919
140.0,201.93548387096774,0.0,-150.0,0.0057919
141.0,205.16129032258064,0.0,150.0,0.0057467
142.0,205.16129032258064,0.0,-150.0,0.0057467
143.0,207.74193548387098,0.0,150.0,0.0057009
144.0,207.74193548387098,0.0,-150.0,0.0057009
145.0,210.96774193548387,0.0,150.0,0.0056541000000000004
146.0,210.96774193548387,0.0,-150.0,0.0056541000000000004
147.0,213.5483870967742,0.0,150.0,0.005606300000000001
148.0,213.5483870967742,0.0,-150.0,0.005606300000000001
149.0,216.7741935483871,0.0,150.0,0.005557200000000001
150.0,216.7741935483871,0.0,-150.0,0.005557200000000001
151.0,219.3548387096774,0.0,150.0,0.0055068
152.0,219.3548387096774,0.0,-150.0,0.0055068
153.0,222.58064516129033,0.0,150.0,0.005455000000000001
154.0,222.58064516129033,0.0,-150.0,0.005455000000000001
155.0,225.16129032258064,0.0,150.0,0.0054018
156.0,225.16129032258064,0.0,-150.0,0.0054018
157.0,227.74193548387098,0.0,150.0,0.0053471000000000005
158.0,227.74193548387098,0.0,-150.0,0.0053471000000000005
159.0,230.96774193548387,0.0,150.0,0.0052908
160.0,230.96774193548387,0.0,-150.0,0.0052908
161.0,233.5483870967742,0.0,150.0,0.005233100000000001
162.0,233.5483870967742,0.0,-150.0,0.005233100000000001
163.0,236.7741935483871,0.0,150.0,0.0051739
164.0,236.7741935483871,0.0,-150.0,0.0051739
165.0,239.3548387096774,0.0,150.0,0.0051133
166.0,239.3548387096774,0.0,-150.0,0.0051133
167.0,242.58064516129033,0.0,150.0,0.0050515000000000004
168.0,242.58064516129033,0.0,-150.0,0.0050515000000000004
169.0,245.16129032258064,0.0,150.0,0.0049883
170.0,245.16129032258064,0.0,-150.0,0.0049883
171.0,248.38709677419354,0.0,150.0,0.004924
172.0,248.38709677419354,0.0,-150.0,0.004924
173.0,250.96774193548387,0.0,150.0,0.0048588
174.0,250.96774193548387,0.0,-150.0,0.0048588
175.0,254.19354838709677,0.0,150.0,0.0047935
176.0,254.19354838709677,0.0,-150.0,0.0047935
177.0,256.7741935483871,0.0,150.0,0.0047297
178.0,256.7741935483871,0.0,-150.0,0.0047297
179.0,260.0,0.0,150.0,0.0046693
180.0,260.0,0.0,-150.0,0.0046693
181.0,262.5806451612903,0.0,150.0,0.0045991
182.0,262.5806451612903,0.0,-150.0,0.0045991
183.0,265.80645161290323,0.0,150.0,0.0044515
184.0,265.80645161290323,0.0,-150.0,0.0044515
185.0,268.38709677419354,0.0,150.0,0.0038704000000000004
186.0,268.38709677419354,0.0,-150.0,0.0038704000000000004
187.0,271.61290322580646,0.0,150.0,0.0027416000000000003
188.0,271.61290322580646,0.0,-150.0,0.0027416000000000003
